交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
1120215,2541,青筆、雞仔魚,台中,370.0,311.6,195.0,95.0,300.5
1120215,2562,什魚,埔心,155.0,75.9,38.8,26.0,84.3
1120215,2562,什魚,彰化,240.0,78.0,25.0,255.5,77.9
1120215,2563,象魚(臭肚),台中,0.0,247.5,0.0,1.0,247.5
1120215,2571,剝皮魚,澎湖,112.0,112.0,112.0,5.0,112.0
1120215,3106,勿仔(凍),苗栗,185.0,175.0,165.0,124.0,171.6
1120215,3106,勿仔(凍),嘉義,175.0,172.2,170.0,130.0,172.3
1120215,3132,紅肉旗(凍),東港,0.0,70.0,0.0,5075.0,70.0
1120215,3141,土魠(凍),台南,400.0,400.0,400.0,210.0,400.0
1120215,3164,透抽(凍),斗南,170.0,170.0,170.0,10.0,170.0
1120215,3179,其他頭足(凍),新竹,110.0,0.0,0.0,44.4,110.0
1120215,3261,肉魚(凍),新營,106.0,106.0,106.0,20.0,106.0
1120215,3291,暑魚凍,高雄,110.0,106.0,100.0,767.0,105.6
1120215,3301,尖梭(凍),埔心,53.0,53.0,53.0,20.0,53.0
1120215,3321,油魚(凍),東港,36.4,30.0,30.0,551.0,31.3
1120215,3321,油魚(凍),苗栗,80.0,0.0,0.0,100.0,80.0
1120215,3341,（日本）白帶魚凍,桃園,0.0,100.0,0.0,267.0,100.0
1120215,3521,秋刀(凍),佳里,130.0,130.0,130.0,18.0,130.0
1120215,3521,秋刀(凍),彰化,130.0,123.0,110.0,30.0,123.3
1120215,3632,柳葉魚(凍),埔心,420.0,420.0,420.0,2.0,420.0
1120215,3641,比目魚,台中,0.0,280.0,0.0,530.0,280.0
1120215,3781,鮭魚(凍),彰化,288.0,277.0,270.0,108.1,277.1
1120215,4015,白蝦,彰化,481.0,481.0,481.0,9.0,481.0
1120215,4016,蝦仁,桃園,100.0,91.0,71.1,196.0,84.1
1120215,4016,蝦仁,彰化,600.0,536.0,480.0,73.0,535.9
1120215,4071,劍蝦,台北,0.0,200.0,0.0,500.0,200.0
1120215,4091,厚殼蝦海,東港,317.0,158.8,38.3,240.0,166.4
1120215,4091,厚殼蝦海,澎湖,273.8,224.4,190.0,237.0,227.4
1120215,4513,三點仔,彰化,251.0,251.0,251.0,21.0,251.0
1120215,5888,海瓜子,台中,0.0,134.5,0.0,74.0,134.5
1120215,6009,比目魚片,台中,0.0,280.0,0.0,140.0,280.0
1120215,6011,紅魚,新竹,100.0,69.0,40.0,196.0,69.4
1120215,6031,魚丸,彰化,26.0,26.0,26.0,24.0,26.0
1120215,6050,熟卷,台北,0.0,333.0,0.0,24.0,333.0
1120215,1011,吳郭魚,台北,56.9,46.4,31.9,5888.9,45.6
1120215,1011,吳郭魚,台南,100.0,83.0,75.0,5756.4,84.8
1120215,1019,其他吳郭,桃園,140.0,101.5,80.0,231.5,92.5
1120215,1019,其他吳郭,新竹,0.0,40.0,0.0,152.9,40.0
1120215,1022,鯽魚,桃園,0.0,50.0,0.0,80.0,50.0
1120215,1022,鯽魚,彰化,150.0,60.0,30.0,176.7,59.7
1120215,1023,草魚,埔心,120.0,108.8,94.1,407.0,108.1
1120215,1024,大頭鰱,嘉義,57.5,56.7,55.0,82.0,56.5
1120215,1027,烏鰡,彰化,120.0,120.0,120.0,8.2,120.0
1120215,1041,虱目魚,嘉義,124.3,114.9,104.3,1616.2,114.7
1120215,1042,虱目魚肚,三重,0.0,100.0,0.0,160.6,100.0
1120215,1043,虱目魚頭,台北,0.0,10.0,0.0,25.0,10.0
1120215,1043,虱目魚頭,新竹,605.0,601.0,600.0,20.0,601.0
1120215,1051,烏仔魚,苗栗,0.0,0.0,35.0,60.0,35.0
1120215,1074,銀花鱸,彰化,189.0,153.0,140.0,54.0,153.2
1120215,1086,三角仔【養】,埔心,335.4,270.1,70.0,39.0,243.2
1120215,1102,泥鰍,嘉義,284.0,282.6,282.0,72.0,282.8
1120215,1121,鱒魚,埔心,201.0,194.8,189.8,78.0,195.1
1120215,1141,田蛙,台中,0.0,130.0,0.0,36.0,130.0
1120215,1164,紅鰽,台北,138.3,131.7,130.0,36.0,131.7
1120215,1165,黃鍚鯛,台中,0.0,166.0,0.0,6.0,166.0
1120215,1165,黃鍚鯛,佳里,200.0,200.0,200.0,1.2,200.0
1120215,1165,黃鍚鯛,埔心,253.1,66.5,42.0,42.6,98.9
1120215,1171,青斑,台北,178.4,173.2,140.0,250.0,167.6
1120215,1174,珍珠龍膽/龍虎斑,台北,133.1,120.5,120.0,533.0,122.9
1120215,1181,黃臘鰺(紅杉),彰化,195.0,187.0,152.0,42.0,186.6
1120215,1201,富貴魚,桃園,0.0,155.0,0.0,30.0,155.0
1120215,2011,加臘,台中,480.0,293.6,169.5,226.0,205.3
1120215,2012,赤宗,三重,0.0,250.0,113.9,76.4,140.5
1120215,2012,赤宗,岡山,378.3,203.1,123.7,169.3,222.2
1120215,2012,赤宗,嘉義,345.8,273.3,197.0,109.8,272.5
1120215,2013,盤仔,澎湖,313.1,182.5,107.2,3.1,193.5
1120215,2021,金線,新營,367.9,362.9,357.9,15.6,362.9
1120215,2051,紅目鰱,台北,401.4,295.8,229.9,124.3,303.8
1120215,2063,黑口,桃園,0.0,0.0,41.6,153.0,41.6
1120215,2064,白口,埔心,119.3,110.8,81.9,338.5,106.7
1120215,2073,硬尾,台北,49.3,30.5,18.9,1388.0,32.0
1120215,2077,甘瓜仔,台北,144.5,92.0,29.7,239.6,88.7
1120215,2079,紅魽,台中,238.5,194.2,166.5,173.0,197.2
1120215,2079,紅魽,台北,271.6,187.1,150.0,112.1,196.6
1120215,2091,白鯧,台北,298.8,151.6,120.0,58.6,174.7
1120215,2091,白鯧,彰化,410.0,382.0,356.0,32.0,381.8
1120215,2099,其他鯧類,嘉義,139.0,112.6,86.2,76.0,112.6
1120215,2105,丁香,新竹,100.0,0.0,0.0,25.0,100.0
1120215,2113,黃鰭鮪,彰化,40.0,36.0,29.0,109.0,36.3
1120215,2124,煙仔虎,斗南,47.0,46.4,43.0,86.1,45.8
1120215,2124,煙仔虎,埔心,84.0,80.0,78.0,62.0,80.4
1120215,2129,其他鰹類,新竹,45.0,45.1,45.0,15.3,45.0
1120215,2135,雨傘旗,台中,0.0,55.0,0.0,40.0,55.0
1120215,2141,土魠,新竹,419.2,351.3,299.2,224.5,354.4
1120215,2141,土魠,澎湖,725.8,553.8,378.6,384.3,553.2
1120215,2142,馬加,台中,195.0,176.9,140.0,175.0,176.9
1120215,2142,馬加,嘉義,203.0,203.0,203.0,30.0,203.0
1120215,2143,白北,台中,453.3,318.3,189.8,456.0,294.2
1120215,2145,石喬,台南,380.0,380.0,380.0,31.5,380.0
1120215,2157,水鯊,東港,0.0,27.0,0.0,1032.0,27.0
1120215,2159,其他鯊魚,斗南,25.0,25.0,25.0,14.0,25.0
1120215,2161,魷魚,苗栗,160.0,0.0,0.0,18.0,160.0
1120215,2163,花枝,台北,254.3,210.5,130.8,249.9,203.3
1120215,2164,透抽,埔心,275.0,253.0,224.2,547.1,251.6
1120215,2169,章魚,埔心,144.6,100.5,98.8,296.0,109.0
1120215,2169,章魚,嘉義,150.0,115.7,91.0,134.0,117.6
1120215,2181,馬頭魚,桃園,256.7,151.8,73.3,278.0,149.3
1120215,2181,馬頭魚,新營,82.2,75.8,75.0,156.0,76.9
1120215,2181,馬頭魚,嘉義,103.2,99.2,99.0,195.0,100.0
1120215,2191,龍尖、青嘴,澎湖,110.0,110.0,110.0,3.0,110.0
1120215,2201,石斑魚,澎湖,666.6,375.1,219.3,69.8,402.2
1120215,2211,狗母,埔心,184.0,142.5,42.7,64.6,130.8
1120215,2242,變身苦,桃園,0.0,120.0,0.0,5.0,120.0
1120215,2251,皮刀,新營,29.0,29.0,24.7,105.0,28.1
1120215,2261,肉魚,苗栗,370.0,212.5,55.0,326.9,165.7
1120215,2261,肉魚,桃園,304.2,248.5,146.6,318.8,207.0
1120215,2261,肉魚,新營,200.0,180.8,166.1,101.4,181.7
1120215,2271,午仔魚,佳里,18.0,16.0,16.0,62.0,16.8
1120215,2271,午仔魚,苗栗,265.0,148.5,32.0,650.5,121.4
1120215,2271,午仔魚,埔心,113.5,43.8,42.0,26.0,57.4
1120215,2341,（日本）白帶魚,台北,219.8,75.3,21.0,856.2,93.4
1120215,2341,（日本）白帶魚,岡山,272.9,154.5,130.2,322.0,173.3
1120215,2341,（日本）白帶魚,新竹,200.0,186.6,119.7,94.1,175.9
1120215,2341,（日本）白帶魚,新營,110.0,85.8,70.0,216.0,87.5
1120215,2351,鱝(魴仔),新營,47.8,42.7,42.0,96.4,43.6
1120215,2351,鱝(魴仔),彰化,120.0,40.0,8.0,159.8,40.4
1120215,2441,牛尾,埔心,160.0,160.0,160.0,1.6,160.0
1120215,2481,英哥,桃園,240.0,0.0,0.0,15.5,240.0
1120215,2482,紅鰱魚,埔心,291.2,264.4,188.0,35.9,254.5
1120215,2491,海鱺,台中,280.0,267.5,236.0,10.0,267.0
1120215,2512,加志,澎湖,383.0,336.3,289.7,21.2,336.3
1120215,2570,剝皮魚（黑達仔）,埔心,176.1,174.3,171.0,39.1,174.0
1120215,2999,其他非凍結魚,斗南,310.0,296.7,290.0,24.0,298.0
1120215,3106,勿仔(凍),台中,0.0,250.0,0.0,78.0,250.0
1120215,3131,劍旗魚凍,東港,100.0,82.4,80.0,1503.0,85.5
